TABLE_CAT,TABLE_SCHEM,TABLE_NAME,TABLE_TYPE
C0000052267P_1_KOR00000000,dbo,CFGBillingRateTableCodeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignActionData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignActionDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignAudienceData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignAudienceDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignObjectiveData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignObjectiveDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignRecStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignRecStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCampaignTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCashAcctSetup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCashHeadingsData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCashHeadingsDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCashSetupData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCashSetupDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGChargeTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGChargeTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCitizenshipData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCitizenshipDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientCurrentStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientCurrentStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientHierarchyData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientHierarchyDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientRelationshipData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientRelationshipDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientRoleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientRoleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGClientTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCommonStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCommonStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCompensationGroupsData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCompensationGroupsDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCompetitionTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCompetitionTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGConsolidationCompanies,TABLE
C0000052267P_1_KOR00000000,dbo,CFGConsolidationEliminations,TABLE
C0000052267P_1_KOR00000000,dbo,CFGConsolidationGroups,TABLE
C0000052267P_1_KOR00000000,dbo,CFGConsolidationTranslationMethodOverrides,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactInfoCatData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactInfoCatDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactRelationshipData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactRelationshipDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactRoleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactRoleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactSourceData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactSourceDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactTitleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactTitleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContactTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractTypeGovConData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGContractTypeGovConDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCountyData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCountyDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCard,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardImport,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardImportDetailData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardImportDetailDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardSecondary,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardSecondaryEmployee,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCreditCardStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCubeTranslationData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCubeTranslationDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCurrencyDownloadCode,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCurrencyDownloadLicense,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCurrencyExchange,TABLE
C0000052267P_1_KOR00000000,dbo,CFGCurrencyExchangePeriod,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDates,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDatesStatus,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDeltekOperations,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDescriptionCategoryData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDescriptionCategoryDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDiaryAutoNum,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDiaryData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGDiaryDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEEOCategoryData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEEOCategoryDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKCategory,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKCategoryTaxCodes,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKEmployeeGroup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKMain,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEKStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMDegreeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMDegreeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMLocationData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMLocationDescriptions,TABLE
